FHEL1024 | ACADEMIC ENGLISH
FHCT1012 | COMPUTING TECHONOLOGY
FHMM1012 | CRITICAL THINKING
FHEL1134 | ENGLISH FOR BUSINESS COMMUNICATION
FHEL1114 | ENGLISH LANGUAGE PROFICIENCY
FHBM1114 | MANAGEMENT
FHBM1124 | MARKETING
FHBM1214 | FINANCIAL ACCOUNTING
FHBM1224 | FINANCIAL MANAGEMENT
FHMM1314 | MATHEMATICS FOR BUSINESS I
FHMM1324 | MATHEMATICS FOR BUSINESS II
FHBM1024 | MICROECONOMICS AND MACROECONOMICS
FHBM1014 | PRINCIPLES OF ECONOMICS
FHHM1214 | INTRODUCTION TO CHINESE LITERATURE
FHHM1244 | INTRODUCTION TO CHINESE WRITING
FHHM1134 | INTRODUCTION TO SOCIAL PHYCHOLOGY
FHHM1114 | INTRODUCTION TO SOCIOLOGY
FHMM1214 | MATHEMATICS FOR SOCIAL SCIENCE
FHHM1224 | SELECTED TEXTS OF MODERN CHINESE LITERATURE
FHHM1124 | SOCIALIZATION AS A PROCESS
FHAD1014 | DESIGN FUNDAMENTALS
FHHM1022 | EFFECTIVE COMMUNICATIONS SKILLS
FHEL1012 | ENGLISH FOR ACADEMIC STUDY
FHMM1014 | MATHEMATICS I
FHMM1024 | MATHEMATICS II
FHMM1034 | MATHEMATICS III
FHSC1124 | ORGANIC CHEMISTRY
FHSC1114 | PHYSICAL CHEMISTRY
FHSC1214 | FUNDAMENTALS OF CELL BIOLOGY
FHSC1134 | INORGANIC CHEMISTRY
FHSC1224 | INTRODUCTION TO PHYSILOGICAL SYSTEMS
FHSC1234 | MODERN BIOLOGY
FHSP1014 | PHYSICS I
FHSP1024 | PHYSICS II
FHCT1022 | PROGRAMMING CONCEPTS
FHSC1014 | MECHANICS
FHSC1024 | THERMODYNAMICS AND ELECTROMAGNETISM
FHSC1034 | WAVES AND MODERN PHYSICS
FHSB1214 | BIOLOGY I
FHSB1224 | BIOLOGY II
FHCT1024 | PROGRAMMING CONCEPTS AND DESIGN
FHCT1014 | INTRODUCTION TO DATA ANALYTICSQ
FHMM1414 | MATHEMATICS
